0,Confiac Maryella,Phroane,109,Evansville,47712,7218,4823
1,Laabd Kearston,La Grande,398,Esparto,95627,7527,5677
2,Rilhard Mariateresa,Quarry Ridge,450,Terry,59349,6379,3627
3,Cottinet Osiria,Cornerstone,283,Panama,74951,7830,7763
4,Buis Keyli,Vespa,597,Warner Robins,31098,7447,7316
5,La-Roche Carissa,Burkhardt,861,Barstow,79719,6305,4974
6,Byramjee Maleyah,Uhland,471,Middle Bass,43446,6191,4712
7,Giry-Clarenc Keaden,Lockhern,942,Hughesville,20637,7234,7036
8,D-Andrea Cheyanna,Russell Woods,570,Klemme,50449,7062,4975
9,Voeffray Hai,Esshire,1178,May,83253,6313,4908
10,Milhoud Vanya,Hill House,1001,Fairmont,73736,7909,6715
11,Novel Abbigale,Lelak,139,Tuscarora,21790,6187,4998
12,Miloudi Roselie,Chanel,1023,Jasper,35501,7454,5688
13,Genevet Lilana,Harmon,276,Deville,71328,6946,4726
14,Blochet Khelan,Withington,829,Bland,65014,6538,3431
15,De-Noyette Art,Burt,938,Dime Box,77853,7589,5049
16,Villalonga Afifa,Pemaco,848,West Paducah,42086,6026,3388
17,Le-Pecheur Dagen,E Pine,1143,Port Angeles,98362,7901,4378
18,Gariglio Eibhlin,Dawes,1121,East Randolph,05041,6884,5504
19,Darrasse Rexalynn,Industrial Park,504,Newfoundland,18445,7060,5667
20,Bodenant Anahya,S Day,615,Wooldridge,65287,7699,4966
21,Buhrig Lilia,Hurlbut,1052,Belmont,71406,7593,4991
22,Stoffel Kinsley,E Barkley,176,Troy,36082,7868,7306
23,Hevert Ceaser,Kredel,50,Caledonia,49316,6626,4484
24,Denotti Kurt,Adrian,291,Waterbury,06702,6913,6472
25,Morer Avy,N Union,662,Otego,13825,7992,6153
26,De-Bouter Aiyana,Robin Hood,960,Earlsboro,74840,7981,6205
27,Dellan Scarlotte,Wilhern,972,Jamesport,11947,6065,3710
28,Le-Maur-Gallic Eusebio,Blanchard,424,Dearing,30808,6198,4681
29,Talineau Norie,Sutphen,751,Bartlett,60103,7332,4697
30,Nogueira-Conia Messiah,Filbert,627,Hillsville,24343,6852,4396
31,Sauvageon Alyviah,Erskine,664,Ismay,59336,6694,5177
32,Law-Ti-Keon Asante,Perkal,338,Levelock,99625,6728,5090
33,Blauvac Danny,Old Dock,336,Nolan,79537,6169,4128
34,Camman Zohan,Marlborough,376,Chattaroy,25667,7578,7552
35,Filloux Mayble,Eisenhower,369,Port Hope,48468,6053,3404
36,Dupont-Corbran Jazzlin,Huntington Farm,346,Groton,05046,7743,5875
37,Karour Tyshon,Spoganetz,1093,Peterstown,24963,6240,4718
38,Rergheaud Jakub,Stavola,936,Vernon,32462,6742,4246
39,Pandolfo Saria,Vita,532,Elk Grove Village,60007,6514,3694
40,Boufrour Klayten,Many Mind,331,Cantonment,32533,6152,3190
41,Croguennoc Kylah,Mann,614,Deer Lodge,59722,7675,4964
42,Sbalchiero Janeen,Bangs,841,Genoa,89411,7391,4158
43,Lobinsky Xin,Beach Spring,1166,Glen Arm,21057,7345,4133
44,Mengelle Karden,Giadeczka,209,Evansville,47713,6649,4537
45,Servent Azam,Minthorne,104,Aston,19014,7560,4576
46,Esquinehare Edem,Boulder Brae,874,Lebanon,46052,7900,4048
47,Wixtor Juanmanuel,Windsor Gate,1116,Represa,95671,7363,3976
48,Perodeau Kodey,Mount Washington,500,Verdigre,68783,7499,5246
49,Ben-Omar Mizuki,Walsh,600,Hurdland,63547,6620,4859
50,Bendara Paul,Witt,793,Waupaca,54981,7442,6233
51,Lepan Angelie,Hoy,642,Rock Springs,82901,6910,4246
52,Lombaro Markiyah,Carrie,1123,Port Charlotte,33981,6739,5333
53,Hangaro Mayceon,Hero,1085,Wichita,67219,6724,4961
54,Freudig Chasyn,Aldershot,769,Alva,73717,7997,6311
55,Patfy Rhyett,Alyea,660,Bethelridge,42516,7800,6287
56,Gubbiotti Lynnlee,Turneur,895,Carbon Cliff,61239,6100,5755
57,Oswald Yvanna,S Beechcroft,1015,Julian,16844,7811,4720
58,Comert Merica,Lindys,847,Lenora,67645,7360,7268
59,Cella Lejon,Deer Chase,162,Boston,02115,7271,6510
60,Genc Luqmaan,N Grand,1187,Edgewater,32141,7890,5059
61,Roox Oberyn,Alyssa,330,Baytown,77520,6275,3228
62,Thual Hyrum,Turn,18,Missoula,59812,6726,4767
63,Duproz Jeydan,Fitzmaurice,373,Allison,79003,7910,3999
64,Devidal Kavian,Occident,1076,Chaplin,06235,6982,6227
65,Barette Tuck,Lesoir,449,Oak View,93022,7978,7543
66,Merola Sairy,Elzey,968,Green Sulphur Springs,25966,7032,5684
67,Attard Kesiah,Weiss,818,Grand Rapids,49506,6643,4351
68,Nautre Emelly,Sandy Hill,722,Cleveland,44127,7935,7801
69,Valmige'Re Jadalynn,E Artisan,826,Pitkin,81241,7910,7853
70,Gourul Rafan,Grenadon,861,Amherst,01002,7207,6170
71,Biotteau Kailynne,Chopek,236,Fairfield,45014,6171,4805
72,Savidan Mikella,Valdale,718,Goshen,03752,7214,5387
73,Boulayad Xanthe,Geyser,1094,Orting,98360,7028,4644
74,De-Franceschi Seidy,E Coleman,51,Lakeland,33813,6223,5835
75,Clairet Woodley,New Brooklyn,494,Tualatin,97062,6403,5645
76,Moroeau Julia,Lutz,75,Bayside,11360,7538,7418
77,Kadar-Daher Crimson,Red Gate,438,Garwood,07027,6486,5907
78,Sevre Zeyna,Richelieu,440,Turton,57477,7426,4997
79,Marreiros Praise,Raisig,1080,Rickman,38580,6975,5096
80,Herbaux Imogen,Rockcrest,777,Carver,55315,7181,5350
81,Niag Khamari,Cowl,56,Des Plaines,60016,6445,4859
82,Tincani Tracey,Shenandoah,430,Arthur,58006,7008,5943
83,Bader Itzabella,Rimlet,1106,Diana,26217,7410,5833
84,Wullaert Hershel,Bonnie,1119,Cary,27519,6532,3539
85,Binoux Keir,Dikeman,1076,Emmitsburg,21727,7648,7392
86,Dieujuste Capri,Roszanski,89,Yauco,00698,6044,5344
87,Kapusta Lee,Service,381,Barryton,49305,7469,3793
88,Ducanda Elisabeth,South Henry,231,Alliance,44601,7451,6815
89,Asilva Laveon,Ponderosa,122,Lansing,60438,7931,5972
90,Labeille Esaias,Horseneck,427,Dallas,75243,7282,4842
91,Kiyindiu-Voumbi Yuritza,Geoffrey,975,Oneco,06373,6016,4470
92,Boaadi Chesney,Ellin,686,North Hatfield,01066,7825,7093
93,Thoard Indeya,Drayton,320,Saint Johns,32259,6789,5328
94,Lazuech Kamori,Burdge,929,Karnack,75661,6416,3211
95,Tangir Merrill,Neuville,269,Dover,28526,7552,7294
96,Girud Nivin,Windong Wood,408,Rocky Hill,08553,7568,7307
97,Verdru Revyn,Lark,840,Island Park,83429,6659,6081
98,De-Sousa-E-Silva Eythan,Timble,1001,Raymondville,13678,6649,3947
99,Jincq-Le-Bot Layelle,Destefano,715,Lafayette,70506,7129,3716
100,Beuriot Quentin,Firth,92,Paint Bank,24131,6147,5555
101,Lassais Lavie,Blaire,1145,Altaville,95221,7677,7191
102,Peiffer Nohely,Independence,1038,Wainscott,11975,6230,5153
103,Dezarnaud Xavyer,Oelsner,220,Guaynabo,00969,6238,4579
104,Suire Matilda,Louden,110,Liberty,27298,7402,5294
105,Rasenthiram Arshia,Hanna,1065,Fort Yates,58538,7271,5148
106,Loris-Descamp Kate,McLain,1185,Lewisville,83431,7200,3994
107,Fouruel Siddhi,William Delameter,305,Stevensburg,22741,6106,3060
108,Bounon Zadok,Kuhl,798,La Farge,54639,6887,6275
109,Le-Blan Sanyla,Southwest,257,Auburn,46706,7228,4378
